comment:text,rating,date,likes,source,query:text,country
"Alicante sorprende por su buen clima, su vida tanto diurna como nocturna. Pasar varios dias en Alicante ha sido divertido, planes diferentes para una misma ciudad: su infinidad de comercios, cafeterias y restaurantes, sus noches, sus chiringuitos de playa, sus centros comerciales,etc. Para ir a sus playas de arena fina del postiguet dentro de la ciudad y su inmensa playa de san juan con sus actividades todo el año de voley playa, futvoley, futbol playa, gimnasio, aerobic,etc. y sin olvidar sus restaurantes y chiringuitos chill out. Para pasear y ver por la ciudad: las vistas desde el castillo imponente de santa barbara, pasear por la explanada con sus mosaicos y palmeras, por el parque canalejas con sus arboles milenarios, por plaza gabriel miro y sus cafes antiguos, por el parque de la ereta. Ver sus monumentos: el casco antiguo con la concatedral san nicolas y la plaza de santa maria, el barrio de santa cruz con sus calles arabes y sus tipicas macetas en las fachadas blancas, la plaza del ayuntamiento con sus arcos, sus fuentes y su reloj, la plaza de los luceros con su fuente y sus restaurantes, el parque del palmeral de alicante y sin olvidar el puerto de alicante, con sus paseos, el casino y el centro de ocio panoramis., el MARQ (impresionate museo, no te lo esperas, los niños salen encantados) los pozos de garrigos y el museo de hogueras con sus ninots, excelente para visitar con niños. Y si aun te queda tiempo puedes visitar la isla de tabarca (tranquilidad,gastronomia y naturaleza acuatica), elche (palmeral), altea (casco antiguo blanco), benidorm (ocio y parque tematicos), calpe (marisco y peñon de ifach),guadalest (pueblo en la roca),etc.",5,2010-10-31,2,TripAdvisor,Alicante,Spain
"Estuvimos en Alicante. Hotel LA CITY justo frente a la estacion de trenes. Excelente atencion,servicio y comodidades.
Es una ciudad digna de ser visitada y sobre todo su playa de San Juan.
El unico problema que he tenido es con AMIGOAUTOS, con quien habia reservado el alquiler y en las cuatro agencias locales nada sabian y al dia de hoy no me contestaron absolutamente nada. Contraten via Tripadvison con otros.
No dejen de caminar la hermosa Alicante y alrededores",5,2010-10-03,0,TripAdvisor,Alicante,Argentina
"El personal era realmente acogedor, pero sólo hablaba español con inglés limitado. Así que podría ser una auténtica dificultad si español no es tu forte. Hay acceso de 24 horas de Internet, una piscina de la piscina y el spa, una habitación de juegos y una habitación de televisión. todo el servicio con todo incluido nos proporcionó un menú variado. El buffet era cocina local. Las habitaciones eran grandes y moderno de diseño, con lindas vistas.

Recomendamos que se coge el Marco Polo tour de las montañas, como lo podrás ver cabras de montaña, olivos y una gran vista de otros pueblos. Hay una playa relativamente cerca, 15 minutos a pie. Al otro lado de la calle hay tiendas de conveniencia, donde el inglés es lo entendí. Nos sentimos seguros caminando por explorar. No tuvimos que llevar nuestros pasaportes con nosotros (como una familia europeo negro, a veces nos hemos a!). Hay una amplia variedad para la ropa tiendas.
Volveríamos a este hotel de nuevo.",5,2010-12-04,3,TripAdvisor,Alicante,United Kingdom
"Alicante es una ciudad de tamaño medio situada a unos 200 km al sur de Valencia. El aeropuerto en sí está ubicado a unos 20 km al oeste de la ciudad. Hay muchas aerolíneas de bajo coste que operan desde el aeropuerto, y también tiene conexiones con los principales centros españoles.

He visitado la ciudad varias veces, pero definitivamente el período más interesante es durante la fiesta de Hogueras, que tiene lugar a finales de junio y se celebra el comienzo del verano. Durante este período, se construyen enormes figuras en todas las plazas principales de la ciudad y, a la medianoche del último día de la fiesta, se queman las figuras. Además, hay hermosos espectáculos de fuegos artificiales y las famosas mascletas, los fuegos artificiales muy ruidosos también valen la pena ver (oír).

Cuando estés en la ciudad, intenta encontrar un apartamento que puedas alquilar por unos 500 euros al mes a un particular o alójate en un hostal en Playa San Juan. Los precios son excelentes y puede esperar pagar alrededor de 30 euros por noche por habitación doble (sin comida).

Cuando vaya de compras, visite, por supuesto, El Corte Inglés, pero para los viajeros con más presupuesto, se pueden comprar muchos comestibles baratos en Mercadona o Alcampo. En las calles principales (El Sabio), también se pueden adquirir excelentes cuchillos, navajas, espadas y todo tipo de cerámica en tiendas especializadas.

Los mejores monumentos son los dos castillos (el más pequeño se encuentra en el centro de la ciudad, pregunta a los nativos cómo llegar) y la gran explanada junto al mar. Además, te puede interesar la Plaza del Toros y el Casco Antiguo, con típicas callejuelas españolas. ¡Tener cuidado! El casco antiguo se convierte en un lugar de fiesta loca justo después de las 11:00 p. m., ¡así que ten cuidado si no te gustan las multitudes!

En definitiva, Alicante es una gran ciudad no solo para pasar un fin de semana, sino también para disfrutar de una estancia más larga y relajada. Tiene muchas tiendas, y no está tan comercializado como Benidorm, por lo que deberías poder disfrutar mucho más de la estancia.",5,2010-10-4,1,TripAdvisor,Alicante,Oslo
"Reservamos traslados ResortHoppa desde Alicante a Albir. Nuestro vuelo se retrasó 3 horas. Cuando llegamos al aeropuerto de Alicante, otros operadores de transferencia que estaban esperando para transferir a sus clientes que llegaban tarde nos dijeron que ResortHoppa se había ido y aparentemente siempre lo hacía si un vuelo llegaba tarde. Tuvimos que pagar 80 libras por un taxi hasta nuestro apartamento (afortunadamente teníamos los fondos para hacerlo, odiaría que uno de nuestros hijos se pusiera en esa situación, o alguien con un presupuesto ajustado).
Cuando traté de reconfirmar mi transferencia de regreso de Albir a Alicante (dentro del plazo solicitado de 24 horas), nuestra reserva había sido borrada de su sistema.
No tenemos derecho a ningún reembolso por su mal servicio.
Manténgase alejado de ResortHoppa. Utilice DirectShuttle.com en su lugar: aparecen a la hora asignada, pueden ser un poco más caros, pero al menos cumplen lo que prometen.",1,2010-06-18,3,TripAdvisor,Alicante,United Kingdom
"Estamos justo después de pasar 9 noches en Alicante en el hotel Hesperia Lucentum. Es un hotel de cuatro estrellas, sin embargo, es básico y no sería del mismo nivel que un hotel de 4 estrellas en casa. Habiendo dicho eso, tiene un pequeño gimnasio, sauna y jacuzzi. Sin embargo, no había piscina, pero este parece ser el caso en la mayoría de los lugares aquí. Tiene wifi gratuito, que es extremadamente rápido. Sin embargo, la principal razón para alojarse en este hotel sería su ubicación idealmente céntrica. Justo en la puerta está la parada de autobús que te llevará a Benidorm, Playa San Juan y también puedes coger el autobús del aeropuerto. También hay una parada de tranvía al otro lado de la calle, lo que lo convierte en una forma económica de llegar a Benidorm, los parques acuáticos y Terra Mítica, etc.
En retrospectiva, hubiera sido agradable tener un apartamento en este lugar porque hay un gran ""mercado"" que vende todo tipo de pescado fresco, fruta, carne, pan, etc.
Recomendamos encarecidamente hacer un viaje en barco Kon Tiki, que puede bajar en el puerto deportivo y hay tres o cuatro que van cada día en diferentes momentos. Este viaje en barco de una hora te lleva a la isla de Tabarca frente a la costa de Alicante. Es un pequeño y pintoresco pueblo de pescadores donde se puede bucear, tomar un bote de remos o una canoa. El agua estaba cristalina y pudimos ver muchos peces. Un montón de restaurantes para elegir. Conseguí un almuerzo de cuatro platos por 12 euros... robar... pan de ajo, ensalada, lasaña,!! los restaurantes en alicante son bastante abundantes y diversos. Recomendamos encarecidamente el restaurante Parrilla libre. era un restaurante argentino. prueba el cordero, fue realmente delicioso. también visitar la playa san juan es imprescindible. playa absolutamente hermosa, toma el autobús 21 o 22 y te llevará allí, la vida nocturna aquí es bastante floja. si buscas cultura , aventura y unas vacaciones relajantes , alicante es tu lugar",5,2009-09-04,2,TripAdvisor,Alicante,Limerick
"El destino de vacaciones de las celebridades, que es el mejor lugar turístico, es Alicante, Spain, muchos viajeros optan por estos lugares debido a sus hermosas playas, bares y restaurantes, y la cultura juvenil. Es un destino preferido para las vacaciones, ya que hay muchas cosas que hacer durante unas vacaciones en Alicante. Quizás muchos de nosotros no conocemos este lugar, sus atractivos naturales, climas, etc. Alicante se encuentra en la costa este de Spain, aproximadamente a la mitad de la Costa Blanca al sur de Valencia y Benidorm. Alicante es una de las ciudades más antiguas de Spain, cuya historia se remonta a los romanos hace más de 2000 años. Su nombre original ""Lucentum"" se traduce como ""Ciudad de la Luz"". La ubicación de Alicante es la culminación de varios tramos de naturaleza que se unen, en un área frente al mar. Alicante está protegida por muchas colinas, que se suman a su valor de defensa. Es por esto que los primeros pobladores humanos de la zona la eligieron. Alicante tiene muchas atracciones, tiene playas impresionantes, buen clima, propiedades inmobiliarias a buen precio, vuelos baratos y hoteles agradables para reservar y también una gran vida nocturna si puede soportar las horas de la madrugada. Es fácilmente accesible por un teleférico que sube a través de la montaña desde la Avenida Jovellanas. Alicante tiene una cantidad decente de áreas comerciales, y puedes pasar fácilmente todo el día caminando por las tiendas del centro de la ciudad o puedes visitar los populares mercadillos donde encontrarás casi de todo, antigüedades, frutas y verduras frescas de su región en particular, centros virtuales de floristería y jardinería, etc.

En general, la región de Alicante en Spain es un gran lugar para relajarse o tener una aventura, relajándose en las playas dependiendo de lo que esté buscando y con una gran comunidad de expatriados, no es de extrañar que muchas celebridades de todo el mundo visiten Alicante solo como la estrella de amas de casa desesperadas Eva Longoria está de vacaciones en Spain en este momento en Alicante. Después de haber pasado el fin de semana jugando el centro anfitrión con un evento benéfico, Eva Longoria se pasó a la modalidad de relax y desahogo, volviendo un poco al baloncesto y el expositor con el sol en alto en las playas de Alicante, Spain. Mostró su figura tonificada mientras se desnudaba hasta quedar en un bikini teñido en un día soleado de verano. Los Hoteles Alicante es un corte actual perfecto tanto para disfrutar de sus vacaciones como para acoger el viaje de negocios de los famosos.",5,2008-10-21,3,TripAdvisor,Alicante,USA
"Alicante en verano es muy concurrida, especialmente en la época de las fiestas de San Juan. Cuidado con los carteristas, especialmente en la estación de autobuses. Algunos mendigos callejeros son muy hábiles para quitarte el bolso mientras hablas con uno de ellos. Los robos de bolsos suceden mucho, así que llévelos con una correa sobre los hombros. No dejes nada desatendido en la playa. ¡Los bolsos y mochilas pueden desaparecer mientras estás sentado frente a ellos!

De lo contrario, es una ciudad muy agradable, que desafortunadamente atrae a su parte injusta de ladrones.",3,2006-05-11,1,TripAdvisor,Alicante,United Kingdom
"¡Pasé 10 días en Alicante durante el verano y lo pasé genial! Alquilamos un apto. en la Plaza, a unas 3 o 4 cuadras de la playa y el castillo estaba justo afuera de las ventanas de nuestro dormitorio, ¡excelente ubicación! Alicante es una ciudad hermosa y conocimos a mucha gente amable, excelente comida. No te pierdas el pub/café ""Austin"". Saluda a Hamid y la pandilla. Playa de arena blanca, preciosas aguas azules y cristalinas. Esperamos volver en los próximos meses. Si estás buscando un lugar para visitar en el sur de Spain, prueba Alicante. También pasamos 2 días en Granada, otro gran lugar, no te pierdas la Alhambra si visitas allí. De todos modos. disfruta de tus viajes!",5,2003-11-05,2,TripAdvisor,Alicante,USA
"Como navegante, puedes obtener una visión completa de la ciudad de Alicante, ya que te acercas a ella desde el mar. Un servicio de transporte gratuito va desde el barco hasta la moderna entrada del puerto. A mano derecha comienza el tramo largo de la playa del Postiguet. A mitad de camino está el ascensor al Castillo de Santa Bárbara. Desde allí, la vista de la ciudad, el puerto y el mar es única. A la izquierda de la Plaza de la Puerta del Mar, comienza el paseo marítimo de la Explanada con el hermoso puerto deportivo frente a él. Esto es especialmente adecuado para una larga caminata bajo grandes palmeras, durante la cual se puede observar el ajetreo y el bullicio de los vendedores ambulantes.

https://www.tripadvisor.es/ShowUserReviews-g187524-r39664143-Province_of_Alicante_Valencian_Country.html#",4,2010-12-13,0,TripAdvisor,Alicante,Germany
