municipality:rel,province:rel,country:rel,age:attr,gender:rel,unemployment,date
Altea,Alicante,Spain,<25,Masculino,34.0,2006-01-01
Altea,Alicante,Spain,25-44,Masculino,123.0,2006-01-01
Altea,Alicante,Spain,>=45,Masculino,0.0,2006-01-01
Altea,Alicante,Spain,<25,Femenino,87.0,2006-01-01
Altea,Alicante,Spain,25-44,Femenino,41.0,2006-01-01
Altea,Alicante,Spain,>=45,Femenino,257.0,2006-01-01
Benidorm,Alicante,Spain,<25,Masculino,211.0,2006-01-01
Benidorm,Alicante,Spain,25-44,Masculino,763.0,2006-01-01
Benidorm,Alicante,Spain,>=45,Masculino,0.0,2006-01-01
Benidorm,Alicante,Spain,<25,Femenino,479.0,2006-01-01
Benidorm,Alicante,Spain,25-44,Femenino,172.0,2006-01-01
Benidorm,Alicante,Spain,>=45,Femenino,1033.0,2006-01-01
Elda,Alicante,Spain,<25,Masculino,232.0,2006-01-01
Elda,Alicante,Spain,25-44,Masculino,751.0,2006-01-01
Elda,Alicante,Spain,>=45,Masculino,0.0,2006-01-01
Elda,Alicante,Spain,<25,Femenino,1027.0,2006-01-01
Elda,Alicante,Spain,25-44,Femenino,207.0,2006-01-01
Elda,Alicante,Spain,>=45,Femenino,1075.0,2006-01-01
Petrer,Alicante,Spain,<25,Masculino,173.0,2006-01-01
Petrer,Alicante,Spain,25-44,Masculino,506.0,2006-01-01
Petrer,Alicante,Spain,>=45,Masculino,0.0,2006-01-01
Petrer,Alicante,Spain,<25,Femenino,539.0,2006-01-01
Petrer,Alicante,Spain,25-44,Femenino,154.0,2006-01-01
Petrer,Alicante,Spain,>=45,Femenino,951.0,2006-01-01
Santa Pola,Alicante,Spain,<25,Masculino,48.0,2006-01-01
Santa Pola,Alicante,Spain,25-44,Masculino,219.0,2006-01-01
Santa Pola,Alicante,Spain,>=45,Masculino,0.0,2006-01-01
Santa Pola,Alicante,Spain,<25,Femenino,148.0,2006-01-01
Santa Pola,Alicante,Spain,25-44,Femenino,84.0,2006-01-01
Santa Pola,Alicante,Spain,>=45,Femenino,349.0,2006-01-01
Altea,Alicante,Spain,<25,Masculino,44.0,2007-01-01
Altea,Alicante,Spain,25-44,Masculino,154.0,2007-01-01
Altea,Alicante,Spain,>=45,Masculino,0.0,2007-01-01
Altea,Alicante,Spain,<25,Femenino,98.0,2007-01-01
Altea,Alicante,Spain,25-44,Femenino,35.0,2007-01-01
Altea,Alicante,Spain,>=45,Femenino,267.0,2007-01-01
Benidorm,Alicante,Spain,<25,Masculino,156.0,2007-01-01
Benidorm,Alicante,Spain,25-44,Masculino,794.0,2007-01-01
Benidorm,Alicante,Spain,>=45,Masculino,0.0,2007-01-01
Benidorm,Alicante,Spain,<25,Femenino,462.0,2007-01-01
Benidorm,Alicante,Spain,25-44,Femenino,179.0,2007-01-01
Benidorm,Alicante,Spain,>=45,Femenino,993.0,2007-01-01
Elda,Alicante,Spain,<25,Masculino,218.0,2007-01-01
Elda,Alicante,Spain,25-44,Masculino,663.0,2007-01-01
Elda,Alicante,Spain,>=45,Masculino,0.0,2007-01-01
Elda,Alicante,Spain,<25,Femenino,910.0,2007-01-01
Elda,Alicante,Spain,25-44,Femenino,209.0,2007-01-01
Elda,Alicante,Spain,>=45,Femenino,1072.0,2007-01-01
Petrer,Alicante,Spain,<25,Masculino,169.0,2007-01-01
Petrer,Alicante,Spain,25-44,Masculino,452.0,2007-01-01
Petrer,Alicante,Spain,>=45,Masculino,0.0,2007-01-01
Petrer,Alicante,Spain,<25,Femenino,536.0,2007-01-01
Petrer,Alicante,Spain,25-44,Femenino,134.0,2007-01-01
Petrer,Alicante,Spain,>=45,Femenino,985.0,2007-01-01
Santa Pola,Alicante,Spain,<25,Masculino,94.0,2007-01-01
Santa Pola,Alicante,Spain,25-44,Masculino,244.0,2007-01-01
Santa Pola,Alicante,Spain,>=45,Masculino,0.0,2007-01-01
Santa Pola,Alicante,Spain,<25,Femenino,158.0,2007-01-01
Santa Pola,Alicante,Spain,25-44,Femenino,77.0,2007-01-01
Santa Pola,Alicante,Spain,>=45,Femenino,377.0,2007-01-01
Altea,Alicante,Spain,<25,Masculino,45.0,2008-01-01
Altea,Alicante,Spain,25-44,Masculino,218.0,2008-01-01
Altea,Alicante,Spain,>=45,Masculino,129.0,2008-01-01
Altea,Alicante,Spain,<25,Femenino,53.0,2008-01-01
Altea,Alicante,Spain,25-44,Femenino,284.0,2008-01-01
Altea,Alicante,Spain,>=45,Femenino,149.0,2008-01-01
Benidorm,Alicante,Spain,<25,Masculino,258.0,2008-01-01
Benidorm,Alicante,Spain,25-44,Masculino,994.0,2008-01-01
Benidorm,Alicante,Spain,>=45,Masculino,594.0,2008-01-01
Benidorm,Alicante,Spain,<25,Femenino,195.0,2008-01-01
Benidorm,Alicante,Spain,25-44,Femenino,1075.0,2008-01-01
Benidorm,Alicante,Spain,>=45,Femenino,735.0,2008-01-01
Elda,Alicante,Spain,<25,Masculino,274.0,2008-01-01
Elda,Alicante,Spain,25-44,Masculino,710.0,2008-01-01
Elda,Alicante,Spain,>=45,Masculino,957.0,2008-01-01
Elda,Alicante,Spain,<25,Femenino,204.0,2008-01-01
Elda,Alicante,Spain,25-44,Femenino,1104.0,2008-01-01
Elda,Alicante,Spain,>=45,Femenino,1789.0,2008-01-01
Petrer,Alicante,Spain,<25,Masculino,180.0,2008-01-01
Petrer,Alicante,Spain,25-44,Masculino,457.0,2008-01-01
Petrer,Alicante,Spain,>=45,Masculino,506.0,2008-01-01
Petrer,Alicante,Spain,<25,Femenino,124.0,2008-01-01
Petrer,Alicante,Spain,25-44,Femenino,893.0,2008-01-01
Petrer,Alicante,Spain,>=45,Femenino,1013.0,2008-01-01
Santa Pola,Alicante,Spain,<25,Masculino,127.0,2008-01-01
Santa Pola,Alicante,Spain,25-44,Masculino,314.0,2008-01-01
Santa Pola,Alicante,Spain,>=45,Masculino,175.0,2008-01-01
Santa Pola,Alicante,Spain,<25,Femenino,112.0,2008-01-01
Santa Pola,Alicante,Spain,25-44,Femenino,445.0,2008-01-01
Santa Pola,Alicante,Spain,>=45,Femenino,227.0,2008-01-01
Altea,Alicante,Spain,<25,Masculino,70.0,2009-01-01
Altea,Alicante,Spain,25-44,Masculino,477.0,2009-01-01
Altea,Alicante,Spain,>=45,Masculino,235.0,2009-01-01
Altea,Alicante,Spain,<25,Femenino,59.0,2009-01-01
Altea,Alicante,Spain,25-44,Femenino,412.0,2009-01-01
Altea,Alicante,Spain,>=45,Femenino,208.0,2009-01-01
Benidorm,Alicante,Spain,<25,Masculino,370.0,2009-01-01
Benidorm,Alicante,Spain,25-44,Masculino,1719.0,2009-01-01
Benidorm,Alicante,Spain,>=45,Masculino,943.0,2009-01-01
Benidorm,Alicante,Spain,<25,Femenino,285.0,2009-01-01
Benidorm,Alicante,Spain,25-44,Femenino,1539.0,2009-01-01
Benidorm,Alicante,Spain,>=45,Femenino,982.0,2009-01-01
Elda,Alicante,Spain,<25,Masculino,502.0,2009-01-01
Elda,Alicante,Spain,25-44,Masculino,1372.0,2009-01-01
Elda,Alicante,Spain,>=45,Masculino,1275.0,2009-01-01
Elda,Alicante,Spain,<25,Femenino,322.0,2009-01-01
Elda,Alicante,Spain,25-44,Femenino,1550.0,2009-01-01
Elda,Alicante,Spain,>=45,Femenino,2087.0,2009-01-01
Petrer,Alicante,Spain,<25,Masculino,363.0,2009-01-01
Petrer,Alicante,Spain,25-44,Masculino,911.0,2009-01-01
Petrer,Alicante,Spain,>=45,Masculino,722.0,2009-01-01
Petrer,Alicante,Spain,<25,Femenino,239.0,2009-01-01
Petrer,Alicante,Spain,25-44,Femenino,1165.0,2009-01-01
Petrer,Alicante,Spain,>=45,Femenino,1256.0,2009-01-01
Santa Pola,Alicante,Spain,<25,Masculino,235.0,2009-01-01
Santa Pola,Alicante,Spain,25-44,Masculino,652.0,2009-01-01
Santa Pola,Alicante,Spain,>=45,Masculino,329.0,2009-01-01
Santa Pola,Alicante,Spain,<25,Femenino,161.0,2009-01-01
Santa Pola,Alicante,Spain,25-44,Femenino,641.0,2009-01-01
Santa Pola,Alicante,Spain,>=45,Femenino,332.0,2009-01-01
Altea,Alicante,Spain,<25,Masculino,89.0,2010-01-01
Altea,Alicante,Spain,25-44,Masculino,558.0,2010-01-01
Altea,Alicante,Spain,>=45,Masculino,307.0,2010-01-01
