country,date,tourists
Spain,2020-12,648989
Spain,2020-11,456814
Spain,2020-10,1020773
Spain,2020-09,1138868
Spain,2020-08,2440978
Spain,2020-07,2464779
Spain,2020-06,204272
Spain,2020-05,0
Spain,2020-04,0
Spain,2020-03,1997262
Spain,2020-02,4427344
Spain,2020-01,4133024
Spain,2019-12,4304741
Spain,2019-11,4655021
Spain,2019-10,7587749
Spain,2019-09,8845152
Spain,2019-08,10118366
Spain,2019-07,9873270
Spain,2019-06,8833893
Spain,2019-05,7919204
Spain,2019-04,7146033
Spain,2019-03,5649577
Spain,2019-02,4380504
Spain,2019-01,4195641
Spain,2021-10,5131167
Spain,2021-09,4691486
Spain,2021-08,5194212
Spain,2021-07,4395384
Spain,2021-06,2215710
Spain,2021-05,1363624
Spain,2021-04,630647
Spain,2021-03,490088
Spain,2021-02,284311
Spain,2021-01,434362
